filepath,filename,class_name,label_id,split,raw_source_id,G09_Date_Magnification,G14_RAWSource
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/10_1.tif,10_1.tif,Adenovirus,0,train,train/Adenovirus/A4-080201_7.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/A4-080201_7.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/10_2.tif,10_2.tif,Adenovirus,0,train,train/Adenovirus/A4-080201_7.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/A4-080201_7.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/10_3.tif,10_3.tif,Adenovirus,0,train,train/Adenovirus/A4-080201_7.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/A4-080201_7.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/11_1.tif,11_1.tif,Adenovirus,0,train,train/Adenovirus/A4-080201_8.tif,2009-10-19 14:30:13 | 235000,train/Adenovirus/A4-080201_8.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/12_1.tif,12_1.tif,Adenovirus,0,train,train/Adenovirus/A4-080201_9.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/A4-080201_9.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/12_2.tif,12_2.tif,Adenovirus,0,train,train/Adenovirus/A4-080201_9.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/A4-080201_9.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/13_1.tif,13_1.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_10.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/A4-65k-071120_10.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/13_2.tif,13_2.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_10.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/A4-65k-071120_10.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/14_1.tif,14_1.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_13.tif,2009-10-19 14:30:10 | 73000,train/Adenovirus/A4-65k-071120_13.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/14_2.tif,14_2.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_13.tif,2009-10-19 14:30:10 | 73000,train/Adenovirus/A4-65k-071120_13.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/15_1.tif,15_1.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_14.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/A4-65k-071120_14.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/16_1.tif,16_1.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_2.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/A4-65k-071120_2.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/17_1.tif,17_1.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_3.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/A4-65k-071120_3.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/17_2.tif,17_2.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_3.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/A4-65k-071120_3.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/18_1.tif,18_1.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_4.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/A4-65k-071120_4.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/18_2.tif,18_2.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_4.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/A4-65k-071120_4.tif
