protocol,method,class_name,mean_f1,std_f1,n_seeds
A,DenseNet201_TTA_Mixup,Adenovirus,0.9125541087132414,0.045972382404847204,5
A,DenseNet201_TTA_Mixup,Astrovirus,0.967365822635669,0.010420466291838059,5
A,DenseNet201_TTA_Mixup,CCHF,0.9767239336865066,0.00923290852980383,5
A,DenseNet201_TTA_Mixup,Cowpox,0.918730167265086,0.02051097216578706,5
A,DenseNet201_TTA_Mixup,Ebola,0.9668743102154365,0.010185822543580393,5
A,DenseNet201_TTA_Mixup,Influenza,0.9819136517360538,0.006917521635239023,5
A,DenseNet201_TTA_Mixup,Lassa,0.9497964959023342,0.022861488011014792,5
A,DenseNet201_TTA_Mixup,Marburg,0.978365018484093,0.009848114591445382,5
A,DenseNet201_TTA_Mixup,Nipah virus,0.9082388320634589,0.03314335120492005,5
A,DenseNet201_TTA_Mixup,Norovirus,0.9786831299141172,0.010617754033296305,5
A,DenseNet201_TTA_Mixup,Orf,0.9249680647221631,0.04638133913161607,5
A,DenseNet201_TTA_Mixup,Papilloma,0.9962751773049645,0.002378004771827481,5
A,DenseNet201_TTA_Mixup,Rift Valley,0.9787477607507388,0.009026044748323015,5
A,DenseNet201_TTA_Mixup,Rotavirus,0.9975308641975309,0.005521155499999457,5
A,EffNetV2S_TTA_Mixup,Adenovirus,0.8884855432760854,0.04726908432883494,5
A,EffNetV2S_TTA_Mixup,Astrovirus,0.9876682734982044,0.008833458179266859,5
A,EffNetV2S_TTA_Mixup,CCHF,0.9571367824238128,0.013956007994315638,5
A,EffNetV2S_TTA_Mixup,Cowpox,0.9410430949167792,0.04049600943452194,5
A,EffNetV2S_TTA_Mixup,Ebola,0.9587192765761733,0.0137904093748015,5
A,EffNetV2S_TTA_Mixup,Influenza,0.9777974533600181,0.004774877295910534,5
A,EffNetV2S_TTA_Mixup,Lassa,0.9364784482924018,0.02339699804588882,5
A,EffNetV2S_TTA_Mixup,Marburg,0.9627947107777965,0.006064986577260408,5
A,EffNetV2S_TTA_Mixup,Nipah virus,0.9430785905573096,0.013651810596731324,5
A,EffNetV2S_TTA_Mixup,Norovirus,0.9904619332763044,0.0032407308435221057,5
A,EffNetV2S_TTA_Mixup,Orf,0.9414475467606398,0.03369786848916325,5
A,EffNetV2S_TTA_Mixup,Papilloma,0.9983999999999998,0.0014605934866805254,5
A,EffNetV2S_TTA_Mixup,Rift Valley,0.9721554986676868,0.0092347429410142,5
A,EffNetV2S_TTA_Mixup,Rotavirus,0.9877145438121048,0.008623647716085961,5
B_G14,DenseNet201_TTA_Mixup,Adenovirus,0.9721867342860738,0.01609467052480989,5
B_G14,DenseNet201_TTA_Mixup,Astrovirus,0.9984962406015038,0.0033625082368417642,5
B_G14,DenseNet201_TTA_Mixup,CCHF,0.9858382814374611,0.009174185395551966,5
B_G14,DenseNet201_TTA_Mixup,Cowpox,0.9238613216124116,0.01283345480019392,5
